iso3,country,continent,hemisphere,human_development_groups,undp_developing_regions,hdi_rank,life_expectancy_at_birth
AFG,Afghanistan,Asia,Northern Hemisphere,Low,SA,180,61.9824
AGO,Angola,Africa,Southern Hemisphere,Medium,SSA,148,61.6434
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,76.4626
AND,Andorra,Europe,Northern Hemisphere,Very High,,40,80.3684
ARE,United Arab Emirates,Asia,Northern Hemisphere,Very High,AS,26,78.7104
ARG,Argentina,America,Southern Hemisphere,Very High,LAC,47,75.3899
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,72.0431
ATG,Antigua and Barbuda,America,Northern Hemisphere,High,LAC,71,78.4968
AUS,Australia,Oceania,Southern Hemisphere,Very High,,5,84.5265
AUT,Austria,Europe,Northern Hemisphere,Very High,,25,81.5797
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,69.3658
BDI,Burundi,Africa,Southern Hemisphere,Low,SSA,187,61.6627
BEL,Belgium,Europe,Northern Hemisphere,Very High,,13,81.8787
BEN,Benin,Africa,Northern Hemisphere,Low,SSA,166,59.821
BFA,Burkina Faso,Africa,Northern Hemisphere,Low,SSA,184,59.2696
BGD,Bangladesh,Asia,Northern Hemisphere,Medium,SA,129,72.3811
BGR,Bulgaria,Europe,Northern Hemisphere,High,,68,71.798
BHR,Bahrain,Asia,Northern Hemisphere,Very High,AS,35,78.7605
BHS,Bahamas,America,Northern Hemisphere,Very High,LAC,55,71.5983
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,75.3003
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,72.438
BLZ,Belize,America,Northern Hemisphere,Medium,LAC,123,70.4697
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,63.6304
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,72.7504
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,77.5714
BRN,Brunei,Asia,Northern Hemisphere,Very High,EAP,51,74.6424
BTN,Bhutan,Asia,Northern Hemisphere,Medium,SA,127,71.815
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,61.1409
CAF,Central African Republic,Africa,Northern Hemisphere,Low,SSA,188,53.8947
CAN,Canada,America,Northern Hemisphere,Very High,,15,82.6565
CHE,Switzerland,Europe,Northern Hemisphere,Very High,,1,83.9872
CHL,Chile,America,Southern Hemisphere,Very High,LAC,42,78.9435
CHN,China,Asia,Northern Hemisphere,High,EAP,79,78.2107
CIV,Ivory Coast,Africa,Northern Hemisphere,Medium,SSA,159,58.5983
CMR,Cameroon,Africa,Northern Hemisphere,Medium,SSA,151,60.3334
COD,The Democratic Republic of the Congo,Africa,Northern Hemisphere,Low,SSA,179,59.193
COG,Congo,Africa,Southern Hemisphere,Medium,SSA,153,63.5187
COL,Colombia,America,Northern Hemisphere,High,LAC,88,72.8296
COM,Comoros,Africa,Southern Hemisphere,Medium,SSA,156,63.4174
