Country,GDP,Infant mortality (per 1000 births),Life_expectancy,Minimum_wage,Health_expenditure,Physicians,Population,Unemployment,Latitude,Longitude
Afghanistan,19101353833.00,47.90,64.50,0.43,0.78,0.28,38041754.00,0.11,33.94,67.71
Albania,15278077447.00,7.80,78.50,1.12,0.57,1.20,2854191.00,0.12,41.15,20.17
Algeria,169988000000.00,20.10,76.70,0.95,0.28,1.72,43053054.00,0.12,28.03,1.66
Andorra,3154057987.00,2.70,,6.63,0.36,3.33,77142.00,,42.51,1.52
Angola,94635415870.00,51.60,60.80,0.71,0.33,0.21,31825295.00,0.07,-11.20,17.87
Antigua and Barbuda,1727759259.00,5.00,76.90,3.04,0.24,2.76,97118.00,,17.06,-61.80
Argentina,449663000000.00,8.80,76.50,3.35,0.18,3.96,44938712.00,0.10,-38.42,-63.62
Armenia,13672802158.00,11.00,74.90,0.66,0.82,4.40,2957731.00,0.17,40.07,45.04
Australia,1392680000000.00,3.10,82.70,13.59,0.20,3.68,25766605.00,0.05,-25.27,133.78
Austria,446315000000.00,2.90,81.60,,0.18,5.17,8877067.00,0.05,47.52,14.55
Azerbaijan,39207000000.00,19.20,72.90,0.47,0.79,3.45,10023318.00,0.06,40.14,47.58
The Bahamas,12827000000.00,8.30,73.80,5.25,0.28,1.94,389482.00,0.10,25.03,-77.40
Bahrain,38574069149.00,6.10,77.20,,0.25,0.93,1501635.00,0.01,26.07,50.56
Bangladesh,302571000000.00,25.10,72.30,0.51,0.72,0.58,167310838.00,0.04,23.68,90.36
Barbados,5209000000.00,11.30,79.10,3.13,0.45,2.48,287025.00,0.10,13.19,-59.54
Belarus,63080457023.00,2.60,74.20,1.49,0.35,5.19,9466856.00,0.05,53.71,27.95
Belgium,529607000000.00,2.90,81.60,10.31,0.18,3.07,11484055.00,0.06,50.50,4.47
Belize,1879613600.00,11.20,74.50,1.65,0.23,1.12,390353.00,0.06,17.19,-88.50
Benin,14390709095.00,60.50,61.50,0.39,0.41,0.08,11801151.00,0.02,9.31,2.32
