Country,Life expectancy males,Life expectancy females,Birth rate,Death rate
Hong Kong *,83.2 years,87.9 years,5.0 ‰,6.9 ‰
Macao *,82.8 years,87.9 years,10.1 ‰,4.1 ‰
Switzerland,81.9 years,85.9 years,10.3 ‰,8.2 ‰
Iceland,81.8 years,84.5 years,13.1 ‰,6.3 ‰
Norway,81.7 years,84.7 years,10.4 ‰,7.8 ‰
Japan,81.5 years,87.6 years,6.6 ‰,11.7 ‰
Sweden,81.4 years,85.0 years,11.0 ‰,8.8 ‰
Australia,81.3 years,85.4 years,12.1 ‰,6.7 ‰
Malta,81.3 years,84.5 years,8.5 ‰,8.0 ‰
Singapore,81.1 years,85.9 years,8.6 ‰,5.8 ‰
Luxembourg,80.7 years,84.9 years,10.5 ‰,7.0 ‰
Canada,80.6 years,84.7 years,9.6 ‰,7.8 ‰
Italy,80.6 years,85.1 years,6.8 ‰,12.0 ‰
South Korea,80.6 years,86.6 years,5.1 ‰,6.2 ‰
New Zealand,80.5 years,84.0 years,11.5 ‰,6.8 ‰
Israel,80.5 years,84.6 years,19.7 ‰,5.4 ‰
Spain,80.3 years,86.2 years,7.1 ‰,9.5 ‰
Ireland,80.2 years,84.1 years,11.6 ‰,6.6 ‰
Netherlands,79.9 years,83.1 years,10.2 ‰,9.8 ‰
Denmark,79.6 years,83.3 years,10.8 ‰,9.8 ‰
Belgium,79.5 years,84.4 years,10.2 ‰,9.7 ‰
Finland,79.3 years,84.7 years,9.0 ‰,10.4 ‰
France,79.3 years,85.5 years,10.9 ‰,9.7 ‰
Maldives,79.1 years,81.0 years,14.1 ‰,3.0 ‰
Austria,78.8 years,83.8 years,9.6 ‰,10.3 ‰
United Kingdom,78.7 years,82.8 years,10.1 ‰,9.7 ‰
Germany,78.5 years,83.4 years,9.6 ‰,12.3 ‰
Qatar,78.3 years,80.9 years,9.8 ‰,1.3 ‰
Portugal,78.0 years,84.3 years,7.7 ‰,12.1 ‰
Bahrain,77.8 years,80.0 years,11.9 ‰,2.5 ‰
Greece,77.5 years,83.0 years,8.0 ‰,13.5 ‰
United Arab Emirates,77.2 years,80.9 years,10.3 ‰,1.9 ‰
Kuwait,77.2 years,81.5 years,10.4 ‰,2.9 ‰
Chile,76.5 years,81.4 years,11.8 ‰,7.4 ‰
Puerto Rico *,75.9 years,84.5 years,5.9 ‰,8.6 ‰
Bermuda *,75.8 years,82.7 years,7.7 ‰,11.3 ‰
Saudi Arabia,75.6 years,78.8 years,17.5 ‰,2.9 ‰
China,75.5 years,81.2 years,7.5 ‰,7.2 ‰
Algeria,74.9 years,78.0 years,21.5 ‰,4.5 ‰
Thailand,74.5 years,83.0 years,9.0 ‰,7.9 ‰
Costa Rica,74.4 years,79.8 years,11.9 ‰,7.2 ‰
Czechia,74.3 years,80.6 years,10.6 ‰,13.3 ‰
Albania,74.1 years,79.2 years,10.2 ‰,11.3 ‰
United States,73.5 years,79.3 years,11.0 ‰,10.4 ‰
Croatia,73.4 years,79.6 years,9.4 ‰,16.2 ‰
Sri Lanka,73.1 years,79.5 years,14.0 ‰,7.4 ‰
Panama,73.1 years,79.6 years,17.7 ‰,6.1 ‰
Turkey,73.0 years,79.1 years,14.7 ‰,6.4 ‰
Lebanon,72.8 years,77.3 years,14.9 ‰,8.3 ‰
Malaysia,72.7 years,77.4 years,15.2 ‰,6.0 ‰
Brunei,72.6 years,76.9 years,13.8 ‰,5.2 ‰
Estonia,72.4 years,81.3 years,10.0 ‰,14.0 ‰
Argentina,72.2 years,78.6 years,13.9 ‰,9.0 ‰
Jordan,72.1 years,76.8 years,22.0 ‰,3.9 ‰
Morocco,71.9 years,76.4 years,17.5 ‰,6.2 ‰
Poland,71.7 years,79.7 years,8.8 ‰,13.8 ‰
Iran,71.2 years,76.8 years,13.7 ‰,6.4 ‰
Cuba,71.2 years,76.4 years,8.9 ‰,14.7 ‰
Hungary,71.1 years,78.0 years,9.7 ‰,16.1 ‰
Oman,71.0 years,74.7 years,18.4 ‰,3.8 ‰
North Korea,70.8 years,75.7 years,13.2 ‰,9.3 ‰
Montenegro,70.8 years,77.0 years,11.4 ‰,14.8 ‰
Bangladesh,70.6 years,74.3 years,17.8 ‰,5.7 ‰
Mauritius,70.3 years,77.2 years,10.3 ‰,10.5 ‰
Ecuador,70.3 years,77.5 years,16.8 ‰,6.7 ‰
Serbia,70.0 years,75.6 years,9.1 ‰,20.0 ‰
Lithuania,69.9 years,79.0 years,8.3 ‰,17.0 ‰
Brazil,69.6 years,76.0 years,12.9 ‰,8.3 ‰
Colombia,69.4 years,76.4 years,14.2 ‰,7.7 ‰
Romania,69.4 years,76.7 years,9.3 ‰,17.5 ‰
Dominican Republic,69.3 years,76.3 years,18.4 ‰,6.7 ‰
Vietnam,69.1 years,78.2 years,15.0 ‰,7.3 ‰
